ADM2_ES,ADM2_PCODE,ADM2_REF,ADM1_ES,ADM1_PCODE,ADM1_REF,ADM0_ES,ADM0_EN,ADM0_PCODE,pop_munid_
Acevedo,VE1501,Acevedo,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,107559.286099434
Achaguas,VE0401,Achaguas,Apure,VE04,Apure,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,74231.7495269775
Acosta,VE1101,Acosta,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,23057.5276727676
Acosta,VE1601,Acosta,Monagas,VE16,Monagas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,19461.6628332138
Agua Blanca,VE1801,Agua Blanca,Portuguesa,VE18,Portuguesa,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,99587.2322273254
Aguasay,VE1602,Aguasay,Monagas,VE16,Monagas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,17457.9186825752
Alberto Adriani,VE1401,Alberto Adriani,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,168345.520985603
Alberto Arvelo Torrealba,VE0601,Alberto Arvelo Torrealba,Barinas,VE06,Barinas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,46725.7401785851
Almirante Padilla,VE2301,Almirante Padilla,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,12685.371049881
Anaco,VE0301,Anaco,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,146658.340716124
Andrés Bello,VE1402,Andres Bello,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,17155.9782390594
Andrés Bello,VE1502,Andres Bello,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,26873.5922174454
Andrés Bello,VE2001,Andres Bello,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,19092.1086387634
Andrés Bello,VE2101,Andres Bello,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,20635.8332881927
Andrés Eloy Blanco,VE0612,Andres Eloy Blanco,Barinas,VE06,Barinas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,21022.5572538376
Andrés Eloy Blanco,VE1301,Andres Eloy Blanco,Lara,VE13,Lara,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,50921.3692207336
Andrés Eloy Blanco,VE1901,Andres Eloy Blanco,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,50685.8137183189
Andrés Mata,VE1902,Andres Mata,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,16494.3215304613
Angostura Del Orinoco,VE0705,Angostura Del Orinoco,Bolívar,VE07,Bolivar,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,410108.215163469
Antolín Del Campo,VE1701,Antolin Del Campo,Nueva Esparta,VE17,Nueva Esparta,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,40416.980843544
