ADM2_ES,ADM2_REF,munid,eblup_income,eblupROR_rate,eblupROR_gap,eblupROR_severity,pop_munid_
Libertador,Libertador,101,1663595.3,.83589649,.51906812,.37003928,1859254.3
Autónomo Alto Orinoco,Autonomo Alto Orinoco,201,,,,,
Autónomo Atabapo,Autonomo Atabapo,202,,,,,
Autónomo Atures,Autonomo Atures,203,,,,,
Autónomo Autana,Autonomo Autana,204,,,,,
Autónomo Maroa,Autonomo Maroa,205,,,,,
Manapiare,Autonomo Manapiare,206,,,,,
Autónomo Rio Negro,Autonomo Rio Negro,207,,,,,
Anaco,Anaco,301,1609995.4,.75996369,.3940987,.25452945,146658.34
Aragua,Aragua,302,3299581.8,.60000002,.28980818,.16790982,14769.569
Fernando De Peñalver,Fernando de Penalver,303,1867222.4,.80931211,.40628561,.25721014,49397.441
Francisco Del Carmen Carvajal,Francisco Del Carvajal,304,1724395.4,.687635,.42148978,.29724759,18856.322
Francisco De Miranda,Francisco de Miranda,305,1100140.4,.9056527,.58285588,.41652226,74056.773
Guanta,Guanta,306,2094208.5,.57704937,.30765375,.17628123,28655.055
Independencia,Independencia,307,825118.44,.93051273,.58033586,.41299716,22238.555
Juan Antonio Sotillo,Juan Antonio Sotillo,308,2138841,.69943237,.3994841,.26406562,289178.56
Juan Manuel Cajigal,Juan Manuel Cajigal,309,970477.19,.98307717,.62144166,.4411349,16599.561
José Gregorio Monagas,Jose Gregorio Monagas,310,288943.31,1.0318993,.65941221,.49140993,23997.244
Libertad,Libertad,311,1354086.6,.80000001,.46445209,.29249209,16408.93
Manuel Ezequiel Bruzual,Manuel Ezequiel Bruzual,312,1759886.6,.79636437,.40298295,.26176235,38760.848
Pedro María Freites,Pedro Maria Freites,313,1812200.1,.82569456,.44962177,.30608329,44229.66
Piritu,Piritu,314,1885783.3,.80000001,.50424004,.35892609,23513.93
San José De Guanipa,San Jose de Guanipa,315,1863243.5,.76076794,.38522604,.23208967,66796.305
San Juan De Capistrano,San Juan de Capistrano,316,2266970,.61908138,.33276063,.21804401,14962.537
Santa Ana,Santa Ana,317,1987990.3,.69999999,.3879829,.26992238,13647.438
Simón Bolívar,Simon Bolivar,318,1852908,.71167171,.38638276,.25390518,439923.25
Simón Rodríguez,Simon Rodriguez,319,1777875.6,.75858343,.44508392,.30396917,269897
Sir Arthur Mc Gregor,Sir Arthur Mc Gregor,320,1071869.5,.89912617,.58711457,.43315431,15881.042
Diego Bautista Urbaneja,Diego Bautista Urbaneja,321,2910658.3,.46198425,.14057834,.046776623,79247.563
Achaguas,Achaguas,401,2935789.8,.5,.20902555,.10738583,74231.75
Biruaca,Biruaca,402,3306896.8,.60467005,.28065667,.16787466,101191.86
Muñoz,Munoz,403,2513281,.5,.1571901,.062953345,24146.234
Páez,Paez,404,2825400.8,.57861036,.23957746,.12799074,91236.563
Pedro Camejo,Pedro Camejo,405,2470072.5,.5,.16398172,.071384184,56114.84
Rómulo Gallegos,Romulo Gallegos,406,2177289.5,.74423897,.37488386,.22772688,34578.887
San Fernando,San Fernando,407,3462158.5,.45836627,.22016305,.13158049,170475.03
Bolívar,Bolivar,501,798084.56,1,.64376664,.49982971,177702.91
Camatagua,Camatagua,502,1305523,.85058492,.49191284,.33425537,15504.613
Girardot,Girardot,503,1321949.9,.86822265,.58026612,.42881915,374089.88
José Ángel Lamas,Jose Angel Lamas,504,901571.69,1,.59757406,.40922153,43928.02
José Félix Ribas,Jose Felix Ribas,505,1200420.8,.85270387,.54154539,.3949886,261326.5
José Rafael Revenga,Jose Rafael Revenga,506,907759.19,1,.59481221,.45334268,46481.191
Libertador,Libertador,507,1136151.5,.91439027,.57117772,.40098137,47029.184
Mario Briceño Iragorri,Mario Briceno Iragorry,508,1819898.1,.69740522,.38288501,.24516575,64405.484
San Casimiro,San Casimiro,509,1071022,1,.5219382,.3400276,30707.471
San Sebastián,San Sebastian,510,878998.25,.92729741,.59466892,.44593981,38438.117
Santiago Mariño,Santiago Marino,511,1462188.8,.80354708,.48650411,.33405119,308988.81
Santos Michelena,Santos Michelena,512,1029397.8,.95458066,.52988136,.35672402,71076.695
Sucre,Sucre,513,2128752,.65014333,.32067966,.22681233,92002.883
Tovar,Tovar,514,1757170.5,.81590176,.48022905,.31009194,14460.818
Urdaneta,Urdaneta,515,700801.63,1,.68718988,.49104553,27325.881
Ezequiel Zamora,Zamora,516,1240847.5,.86005127,.53358412,.36868444,179690.53
Francisco Linares Alcántara,Francisco Linares Alcantara,517,1281344.6,.82691884,.4785077,.33324489,47872.996
Ocumare De La Costa De Oro,Ocumare de La Costa De Oro,518,2245078.5,.59827906,.25423637,.13966469,15415.07
Alberto Arvelo Torrealba,Alberto Arvelo Torrealba,601,379262.63,1,.83014446,.70934051,46725.738
Antonio José De Sucre,Antonio Jose de Sucre,602,2696723,.46548086,.18523414,.10003011,117247.52
Arismendi,Arismendi,603,482553.22,1.277347,.57625121,.32563993,21939.375
Barinas,Barinas,604,1199109.4,.88452441,.54284632,.39147845,407762.22
Bolívar,Bolivar,605,1029857.5,.88906902,.57653832,.41588292,90051.57
Cruz Paredes,Cruz Paredes,606,591264.81,1,.73608279,.54229105,55310.051
Ezequiel Zamora,Ezequiel Zamora,607,2297622,.75688303,.22905479,.099391177,52680.5
Obispos,Obispos,608,751086.94,.95834154,.6707601,.50471306,50148.906
Pedraza,Pedraza,609,798502.31,1,.62925351,.42507285,64310.723
Rojas,Rojas,610,880503.56,1,.61410481,.47016224,47291.418
Sosa,Sosa,611,688794.5,1,.69254941,.47962466,26528.887
Andrés Eloy Blanco,Andres Eloy Blanco,612,2950349.5,.80000001,.25389627,.10146882,21022.557
Caroní,Caroni,701,2448946.3,.68122917,.35776019,.22699586,777942
Cedeño,Cedeno,702,1720921.1,.70655406,.26396054,.13898189,94803.461
El Callao,El Callao,703,1740403.3,.85855877,.44650149,.26589167,17592.467
Gran Sabana,Gran Sabana,704,1895835.3,.67953539,.22552179,.10549948,79624.781
Angostura Del Orinoco,Angostura Del Orinoco,705,2107890.5,.72631162,.33404535,.18905848,410108.22
Piar,Piar,706,1815697.8,.80578256,.38767609,.22260483,138453.34
Bolivariano Angostura,Bolivariano Angostura,707,2264029.5,.67270195,.19770762,.062458325,46679.844
Roscio,Roscio,708,1709745.4,.7943176,.33502308,.16310415,5423.9795
Sifontes,Sifontes,709,1783324.4,.7394169,.3509075,.20829563,114423.27
Sucre,Sucre,710,1338350.3,.78435761,.36180675,.22797358,46815.797
Padre Pedro Chien,Padre Pedro Chien,711,1621339.3,.83105129,.46307936,.29527813,17214.674
Bejuma,Bejuma,801,609419.38,1,.7279793,.5299539,56353.414
Carlos Arvelo,Carlos Arvelo,802,700875.19,1,.67681456,.49099353,166803.31
Diego Ibarra,Diego Ibarra,803,1923564.1,.5,.23897573,.1142188,57827.008
Guacara,Guacara,804,1349521.5,.76652718,.48972195,.36202455,354194.25
Juan José Mora,Juan Jose Mora,805,901281.94,.92413056,.54550076,.37515774,43074.305
Libertador,Libertador,806,1305786.5,.83315915,.52679145,.40455714,287782.75
Los Guayos,Los Guayos,807,1105051.1,.82865167,.55598456,.42175516,162312.92
Miranda,Miranda,808,1402124.3,.85691708,.47858799,.32403502,16621.225
Montalbán,Montalban,809,1269924.1,.89668787,.53414077,.37701827,39777.676
Naguanagua,Naguanagua,810,2006297.8,.68970615,.30221003,.15332861,279402.22
Puerto Cabello,Puerto Cabello,811,1115217.5,.90676242,.56560326,.40385625,233862.17
San Diego,San Diego,812,1175917.3,1,.47511709,.32766709,125154.46
San Joaquín,San Joaquin,813,1394955,.79854101,.46652269,.32234472,81808.836
Valencia,Valencia,814,1665899.9,.77411121,.44145662,.29949778,765718.44
Anzoátegui,Anzoategui,901,692996.81,1,.67380983,.47496298,27969.363
Tinaquillo,Tinaquillo,902,1815173.8,.70430309,.43185818,.30665222,132668.02
Girardot,Girardot,903,347634.22,1.0784447,.66884458,.48183575,12193.772
Lima Blanco,Lima Blanco,904,833304.69,1.0357883,.65445411,.46144673,5400.2256
Pao De San Juan Bautista,Pao de San Juan Bautista,905,867376.94,.9838112,.65671766,.47787511,25966.668
Ricaurte,Ricaurte,906,1200881.8,.87098473,.59278172,.42716175,12972.646
Rómulo Gallegos,Romulo Gallegos,907,966881.38,1,.57053453,.36260492,6937.8726
Ezequiel Zamora,Ezequiel Zamora,908,1366487.5,.83819169,.47748432,.32070422,156881.13
Tinaco,Tinaco,909,1109519,.88107717,.53787553,.39578277,34382.84
Antonio Díaz,Antonio Diaz,1001,,,,,
Casacoima,Casacoima,1002,,,,,
Pedernales,Pedernales,1003,,,,,
Tucupita,Tucupita,1004,,,,,
Acosta,Acosta,1101,1398077,.83835381,.48486423,.32179734,23057.527
Bolívar,Bolivar,1102,1452952.4,.77777779,.41467473,.24593826,7995.6401
Buchivacoa,Buchivacoa,1103,1856771.8,.75583911,.37402025,.2335594,24217.986
Cacique Manaure,Cacique Manaure,1104,1282797.4,.90486407,.45774096,.29874605,14120.257
Carirubana,Carirubana,1105,1962509.4,.68231136,.35982579,.23443523,273881
Colina,Colina,1106,1311780.9,.88574237,.44193798,.28155634,79849.281
Dabajuro,Dabajuro,1107,1882659.5,.71428573,.37494135,.24784619,31470.635
Democracia,Democracia,1108,1529202,.82662892,.45093733,.28449261,9083.9482
Falcón,Falcon,1109,1173260.4,.86341417,.50402862,.33904853,54471.344
Federación,Federacion,1110,3148036.3,.1775232,.0436524,.014109874,36748.293
Jacura,Jacura,1111,1491686.8,.79546213,.40404233,.25246519,8355.9131
Los Taques,Los Taques,1112,2460113.5,.67224497,.21206962,.092862889,52967.746
Mauroa,Mauroa,1113,1436195.9,.85714287,.3640863,.24552169,29154.916
