munid,ownviv,auto,heladera,dormi,banio,lavsec,tvradio,calentac,nhogviv,techo,pared,piso,acue,freqagua,poceac,elecpub,h_age,h_fem,h_single,h_primaria,h_secundaria,h_educ,h_ocupado,h_desocup,h_selfemp,h_entrepreneur,h_publicsect,miembros,shchild,shoccadult,notsch,munpop,occrate,unemprate,pobrenbi11,shselfemp,shentrepreneur,shpublicsect,shschatt,regadm2,regadm3,regadm4,regadm5,regadm6,regadm7,regadm8,regadm9,entid,ipcf_munid,ipcf_var_munid,pobre_extremo_munid,pobre_extremo_var_munid,samplesize,simple_mean_ipcf,simple_var_ipcf,simple_var_pobre_extremo,simple_mean_pobre_extremo,munid_str,_merge,pobre_extremo_asin,designeffect,effsample,sigma2_e_arcsine,eblupROR,mseROR,cvROR_FH,cvROR_direct
101,.71041083,.23691449,.95177901,2.0525951,1.1823665,.84557438,.98424125,.23239686,1.081224,.81765729,.82663143,.65485692,.9778102,.72247434,.9807362,.99697322,48.31496,.44743225,.26606894,.37122092,.33718881,9.1688471,.54657894,.013986027,.13823195,.0099746156,.1770613,3.4106443,.16483262,.49056929,.18061949,1866267,.41967827,.045431931,7.556572,.20655632,.013313641,.31635809,.6997835,1,0,0,0,0,0,0,0,01,1623117.9,90583785472,.84347969,.0013502499,654,1636985.5,59918524416,.00066328491,.84158415,0101,matched (3),1.1640464,2.0357013,.00066328485,376.91196,1.3797301,27.543222,380.3761,1667.8219
301,.78411502,.28906435,.88987744,1.9630462,1.0953408,.63566464,.95383573,.5980733,1.0438861,.47699994,.75066519,.3241885,.79690176,.34310886,.6247561,.99266839,44.161411,.35470188,.2241044,.42631981,.28938842,8.5818672,.472543,.042157672,.13978906,.0087497057,.13154018,3.6091504,.21793523,.36532873,.25038299,122509,.29187346,.11173202,.63052148,.24141014,.012868821,.24623196,.68168414,0,0,0,0,0,0,1,0,03,1602197.1,17052889088,.76170605,.0020939247,350,1568221.5,10786575360,.0016366,.77064222,0301,matched (3),1.0608234,1.2794359,.0016365999,152.75572,1.0090656,5.561223,233.70377,1165.0797
302,.8199876,.21874613,.79615146,1.973272,.98010939,.52129114,.91421479,.41092488,1.0850112,.26106414,.76951766,.17043759,.72998506,.31563899,.44256589,.97476381,47.425823,.37703291,.25586593,.38336438,.22346368,7.2745275,.43674737,.070763499,.19826195,.020484172,.14239603,3.6148975,.20013361,.3488937,.23128492,29118,.27913582,.19026217,.68444502,.32896379,.028339576,.29338327,.69010586,0,0,0,0,0,0,1,0,03,3299581.8,1.2197274e-19,.60000002,4.3333424e-34,26,3299581.8,1953354219520,.026666667,.60000002,0302,matched (3),.88607717,1.6250034e-32,.026666667,9.375,1.0363606,3.4302523,178.71135,345.55255
303,.77752936,.29670206,.86573505,2.0839677,1.1570756,.65120178,.95427614,.57954162,1.0689192,.44894761,.75828481,.41356918,.86016572,.12024183,.24149127,.99440217,45.630745,.36389044,.1844606,.36389044,.31615427,9.2901382,.43465623,.084628284,.12118502,.0067076581,.18535495,3.7282281,.2191148,.34012595,.22850755,33349,.27172408,.19427659,.97851771,.21445674,.011401208,.33701971,.72352308,0,0,0,0,0,0,1,0,03,1835096.4,113096916992,.8192718,.0054648644,117,1805358.9,101615828992,.0037019232,.82499999,0303,matched (3),1.1317003,1.4762231,.0037019232,67.532463,1.0607041,4.2631197,194.65677,726.14752
304,.7847262,.13487032,.75014406,2.0017352,.78397918,.50720459,.87492794,.2481268,1.1571058,.18536727,.7345286,.17958358,.91700405,.82446504,.13186814,.98640835,47.01614,.36253601,.20605187,.42132565,.1832853,6.8885312,.50749278,.027089337,.25273776,.018443804,.14149857,4.2201729,.26399934,.40309182,.31959653,14644,.31577969,.073942699,.96164638,.39427012,.0313779,.29249659,.67471361,0,0,0,0,0,0,1,0,03,,,,,,,,,,,master only (1),,,,,.99325895,7.116446,268.57718,
305,.82241929,.25730091,.82591718,1.9095359,1.0391549,.58374685,.90108192,.47783291,1.0321635,.31739947,.6593523,.12219594,.70258588,.13084264,.20107676,.95105636,44.798908,.39290655,.27112991,.41470757,.25542992,7.2756119,.38851377,.084438302,.13552429,.0083787525,.14007972,3.5098836,.21267417,.3133719,.23549987,43147,.25202668,.24330878,1.014954,.23432729,.012484282,.2818394,.69680679,0,0,0,0,0,0,1,0,03,1085683.9,73365004288,.90609854,.0020709846,55,1067873.5,123600158720,.0082644625,.90909094,0305,matched (3),1.2593523,.25058913,.0082644625,30.250002,1.0149986,5.4294629,229.56886,436.73245
306,.84309757,.19764647,.90471971,2.1595287,1.1820831,.66797417,.95356196,.52030873,1.0564986,.48441461,.63000506,.45387733,.85022807,.60136849,.6078307,.99645209,44.805138,.36365938,.24826016,.45020878,.27989373,8.416996,.4259142,.030115146,.094394535,.01227382,.20118943,3.9071238,.21859877,.32860208,.26648107,30878,.26664454,.11362383,.92245448,.17829564,.021511307,.41492003,.68224192,0,0,0,0,0,0,1,0,03,2799497,555059773440,.54743361,.0030031644,64,3444358.8,625759158272,.013157895,.5,0306,matched (3),.83290321,.22824049,.013157895,19,.97648752,6.9715838,270.39523,523.33801
307,.86220473,.18805774,.79461944,1.9863739,.96666223,.54133856,.90629923,.52217847,1.0162879,.1867972,.64691097,.098425716,.81783307,.28112185,.22489747,.94549543,46.121918,.41220471,.23648293,.44895014,.26719159,7.5873551,.35301837,.04711286,.10958005,.0051181102,.17703412,3.9391077,.23122463,.28549507,.2847769,30016,.22719283,.1463012,1.1015176,.22820343,.009577279,.44534346,.67171943,0,0,0,0,0,0,1,0,03,,,,,,,,,,,master only (1),,,,,1.1671561,5.132699,194.10823,
308,.7385506,.29090652,.90875065,2.0765436,1.163,.73870784,.96470809,.62087947,1.1397805,.5673874,.76698083,.51869071,.90110946,.62226182,.76836765,.99714756,45.874214,.3691023,.19421552,.40453574,.283499,8.8663044,.55443192,.032020636,.20008178,.017064041,.15429983,3.8360751,.21149872,.45914602,.24800265,243913,.37435976,.082056977,1.1115583,.2927452,.021455558,.26075968,.690813,0,0,0,0,0,0,1,0,03,2106504,81653719040,.71162081,.0027398202,531,1981189.3,37235646464,.0014128825,.72535211,0308,matched (3),1.0039083,1.9391706,.0014128825,176.94324,.99340397,5.6048727,238.31807,1325.0216
309,.83174282,.14038172,.65544951,1.8571069,.79320753,.34203917,.84304368,.24234053,1.0236062,.3544654,.67874211,.049308177,.6301887,.40704402,.18440251,.89861637,46.915871,.33651432,.32320443,.35509795,.16624811,6.0317054,.50175792,.060522351,.21421397,.025866399,.17453541,3.3842289,.20439422,.40688628,.22199899,13476,.3032763,.160289,1.0729654,.32325396,.031576131,.33154938,.69322205,0,0,0,0,0,0,1,0,03,,,,,,,,,,,master only (1),,,,,1.0206385,9.2085142,297.31912,
